Reviewer,Rating,Date,Content,Likes
Willow Maclay,3,2015-04-05,"Shout out to the dude who saves his iguana in this movie by taking it with him as he jumps out of a flaming, moving car. Bless your kind heart.",2125
Josh Larsen,3.5,2015-03-28,The one where Vin Diesel puts an elbow through his car's window instead of just rolling it down.,1933
Josh Lewis,2,2015-03-25,I like that one scene where Vin Diesel reimagines a crime scene Will-Graham-style.,1679
Andy Young,3.5,2021-06-19,fucking bullshit this wasnâ€™t called â€œFast & 4iousâ€ get the mayor of cinema on the phone,1186
Lucy,2,2021-06-22,"too much furious, not enough fast!",970
Matt Singer,3.5,2021-06-24,"Superman is cool but does he have Car Accident Recreation Vision?
No. No he does not.
Advantage: Dominic Toretto.",838
Bryan Espitia,3.5,2021-05-21,"Clearly this series forgot about its best character Dwight who only refers to himself in the third-person, has a foot fetish, and calls everyone nutsack. When are they bringing this guy back?",651
Bryan Espitia,3.5,2023-05-06,Only pussies run nitro meth,642
demi adejuyigbe,,2021-06-19,,499
Wood,3,2015-04-08,I can't believe they didn't call this Fast and Fourious.,424
Framesofnick,2,2020-07-15,Too serious but the turning point in the series,349
Leah ğŸ¥€,3,2022-03-13,"the movie: ğŸ‘
having a pitbull song in the credits: ğŸ‘",330
